region,subregion,geo_type,transportation_type,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20
Spain,,country/region,transit,100,98.32,101.88,106.29,120.34,112.86,94.58,103.87,102,106.9,113.27,122.48,117.48,100.02,103.94,106.38,107.91,111.9,126.45,123.1,103.18,107.08,106.72,110.11,114.79,130.29,120.69,100.58,105.11,105.33,109.87,116.83,135.77,126.58,116.03,129.21,137.13,136.61,143.03,157.63,153.86,129.1,130.22,125.4,131.87,144.73,160.26,148.3,133.9,129.45,128.39,134.24,141.99,160.56,155.51,128.11,117.27,105.2,96.82,68.61,47.29,25.78,16.11,12.85,10.69,10.04,9.26,9.06,7.76,8.05,8.69,8.69,8.23,8.29,8.01,7.16,7.79,8.15,8.36,7.89,8.17,7.33,7.04,7.58,8.47,8.72,8.75,8.11,7.61,7.73,8.25,9.76,9.41,9.57,9.44,9.32
Spain,,country/region,walking,100,98.35,100.8,107.91,134.63,143.26,94.59,91.8,88.99,100.26,112.84,135.73,150.12,108.39,105.71,108.1,109.17,114.23,144.92,167.1,116.06,113.25,114.17,113.67,120.27,147.92,166.35,112.38,113.58,113.22,118.13,131.71,172.16,192.6,133.31,125.89,129.57,131.74,138.1,165.75,191.28,134.83,130.32,121.11,123.93,136.99,170.82,183.15,125.56,112.98,114.03,120.37,130.01,157.84,178.42,123.06,108.59,104.81,100.74,82.83,66.09,34.15,14.33,11.45,10.66,10.12,9.07,9.82,7.17,5.82,8.91,8.83,8.75,8.72,8.95,7.04,6.27,8.51,8.67,8.67,8.99,9.52,7.42,6.3,9.58,10.2,10.85,8.21,6.99,8.26,6.67,9.63,11.28,11.11,11.54,11.98
Sweden,,country/region,driving,100,100.72,103.7,107.45,111.72,119.02,118.63,103.59,105.71,108.07,108.98,120.11,129.88,120.86,105.32,106.1,108.5,110.73,119.31,128.96,124.8,105.05,106.17,110.49,111.58,121.04,131.85,127.06,106.17,109.44,112.45,115.86,127.85,139.42,131.24,108.78,110.86,116.62,119.94,127.9,140.44,135.95,109.91,113.16,114.81,119.45,124.7,134.96,131.01,106.66,107.93,110.3,113.25,120.88,128.48,124.21,103.79,103.06,101.18,92.71,94.36,95.97,92.1,79.3,77.96,78.77,83.49,84.37,89.08,87.35,76.7,78.65,84.11,87.32,90.68,91.84,88.57,80.65,83.41,84.88,84.57,87.5,86.9,90.01,95.39,96.31,102.94,104.48,90.58,79.24,84.58,94.74,91.83,93.95,94.94,100.77
Sweden,,country/region,transit,100,98.91,100.67,102.31,102.76,110.37,111.8,107.03,104.25,106.43,104.09,113.28,121.42,112.38,107.42,107.58,104.87,103.88,109.59,115.41,114.12,108.11,108.69,110.05,109.82,120.22,121.26,112.38,108.16,108.44,107.11,106.42,112.57,118.27,112.72,109.38,111.73,111.12,108.83,112.67,114.66,109.64,103.29,103.16,104.21,104.68,106.51,110.13,102.42,101.12,99.71,98.62,101,108.83,112.09,102.58,97.69,93.21,86.39,76.67,74.84,71.74,68.12,61.39,56.91,55.25,55.6,56.92,59.23,55.55,53.38,53.34,53.46,53.25,54.25,55.07,57.56,53.14,53.02,54.34,51.15,51.85,53.24,55.66,59.93,60.7,58.55,59.83,55.36,48.85,53.02,58.53,60.46,60.02,58.48,59.88
Sweden,,country/region,walking,100,100.6,109.04,107.33,121.86,123.88,104.39,111.64,115.29,115.5,110.32,134.48,146.44,97.47,105.08,107.55,112.9,112.2,129.59,139.5,102.43,107.74,108.88,116.1,114.32,126.58,132.69,86.77,100.79,109.4,109.93,113.56,138.59,133.07,85.68,103.01,109.35,116.71,110.84,129.4,117.79,93.14,102.01,103.6,106.05,107.1,123.34,125.17,87.04,102.28,103.52,103.18,107.31,130.14,135.61,91.56,101.54,100.22,97.13,77.25,85.86,89.72,60.48,67.77,63.3,61.53,70.13,69.54,74.99,64.46,62.42,65.43,70.06,72.9,79.15,76.63,64.29,61.77,68.61,70.51,62.42,68.73,74.44,70.93,83.89,77.63,82.36,78.78,70.35,61.91,56.47,62.45,71.63,79.32,77.12,82.08
Switzerland,,country/region,driving,100,102.35,108.16,106.47,119.06,112.18,107.38,103.55,105.97,109.5,107.2,120.2,118.59,108.43,100.31,102.79,108.48,110.11,122.29,115.4,102.66,101.26,102.5,108.49,108.21,124.6,125.47,112.56,103.05,104.92,108.31,110.1,129.38,137.92,112.08,108.35,107.76,108.75,111.07,127.62,136.17,108.61,106.53,106.25,107.91,106.6,114.6,114.48,101.36,96.21,98.2,102.72,102.4,111.37,108.9,106.95,95.1,95.25,97.44,86.01,84.32,74.03,70.65,67.59,59.59,57.32,55.1,51.83,40.3,38.61,48.87,50.18,50.97,51.57,55.34,52.01,42.65,50.7,56.12,56.89,58.03,59.52,54.62,56.98,60.38,64.19,66.9,64.73,58.77,59.63,51.83,62.12,66.63,70.18,71.22,72.89
Switzerland,,country/region,transit,100,102.26,106.79,100.41,105.77,102.94,98.62,103.98,105.3,109.24,104.2,105.31,103.38,94.37,100.71,101.82,106.52,102.47,106.68,101.75,98.59,102.59,106.37,108.07,104.77,106.86,103.3,96.86,103.62,104.72,105.8,104.18,105.83,103.01,101.62,113.43,113.32,111.45,107.04,111.03,109.41,97.7,106.3,105.79,108.14,108.12,104.49,98.68,90.97,96.6,96.76,99.5,97.85,100.1,95.23,87.16,90.4,88.38,84.67,73.36,63.2,56.69,47.61,41.84,33.84,32.12,29.17,26.17,22.24,22.54,24.29,24.12,24.08,23.91,24.44,25.05,22.39,23.59,26.86,26.63,26.33,27.05,25.8,27.86,27.57,28.91,30.46,28.46,29.91,29.12,28.31,31.32,32.24,34.04,33.46,35.43
Switzerland,,country/region,walking,100,107.83,116.33,115.19,121.72,123.94,85.59,105.55,115.59,119.13,112.6,120.96,127.16,82.82,101.24,100.81,109.78,112,128.14,128.94,80.23,100.05,102.63,110.77,110.69,127.55,131.54,90.65,97.11,103.63,109.24,109.24,128.9,136.98,95.29,105.7,114.05,112,119.18,129.7,142.04,92.9,114.85,108.11,107.05,107.66,124.55,119.52,89.31,89.8,100.73,104.97,95.92,111.56,123.3,87.32,90.24,89.77,101,90,88.42,79.34,70.87,65.25,55.6,57.14,54.05,49.97,41.14,34.36,43.81,45.97,45.61,45.53,53.59,57.67,33.78,41.09,51.1,53.27,54.62,60.12,61.01,62.48,59.32,63.28,67.22,66.23,68,68.16,60.67,64.43,59.93,67.13,68.44,72.89
Taiwan*,,country/region,driving,100,106.97,113.81,118.64,136.4,135.78,120.37,121.19,123.02,124.95,101.34,122.06,141.94,166.3,173.54,143.52,117.52,113.53,123.3,126.65,114.15,102.95,104.08,107.82,109.21,123.96,132,120.3,109.74,111.48,113.56,114.57,133.29,135.71,109.23,105.89,109.03,111.44,114.37,136.57,137.99,122.26,99.29,90.66,102.39,150.75,162.67,156.81,118.04,97.22,97.47,95.85,102.3,132.44,142.1,113.94,97.36,100.62,101.12,100.7,120.24,136.85,113.09,98.54,94.7,89.88,93.2,124.83,128.51,105.1,91.47,91.74,92.18,95.48,109.76,116.77,101.59,89.92,94.79,118.3,124.58,115.7,116.05,93.62,82.97,86.1,84.81,82.44,101.71,93.5,84.59,78.67,79.4,80.85,86.4,111.72
Taiwan*,,country/region,transit,100,107.64,119.93,124.1,135.24,130.25,120.85,119.26,113.83,101.2,76.72,79.13,85.78,94.16,100.05,93.07,97.97,102.51,103.51,100.96,104.38,98.81,101.76,104.46,104.57,109.45,100.2,104.21,102.07,104.9,107.92,109.11,106.55,105.55,95.1,99.95,104.57,101.05,102.3,110.32,100.03,98.5,84.49,76.64,83.57,104,102.34,95.89,79.84,75,74.34,74.13,77.63,104.58,101.24,79.21,69.69,74.16,70.51,75.81,94.7,96.71,74.6,66.51,64.4,59.86,62.26,84.3,78.51,63.32,57.97,58.1,58.05,60.13,70.19,68.55,59.83,55.2,58.1,68.93,66.68,59.67,58.4,56.26,52.82,53.1,52.5,51.98,65.84,55.66,48.48,46.82,50.3,50.39,56.58,73.77
